yr,blk,AJ01,J11,J13,J14,J15,J16,J17,J18,J19,J110,J111,J112,J113
24,J,128718,3,3413947,9,58357000.0,61543554.0,13118808608.0,2001174194.0,0.0,0.0,0.0,180.65,10541994235.0
24,J,128718,4,3411075,27,34080.0,15325.0,1591450533.0,239090029.0,0.0,0.0,0.0,88245.38,3007402674.0
24,J,128718,5,3531000,27,46912.0,46277.0,4795452822.0,731509753.0,0.0,0.0,0.0,87817.77,4119707355.0
24,J,128718,6,3526046,9,37814.77,33414.06,1034414477.0,156259282.0,0.0,0.0,0.0,26281.01,993810402.0
24,J,128718,12,9995000,0,0.0,0.0,30774288068.0,4860519307.0,0.0,0.0,0.0,0.0,25931574620.0
24,J,128719,1,3423199,27,93870.0,95414.0,3903720000.0,0.0,0.0,67100000.0,0.0,40210.24,3774535387.0
24,J,128719,2,1730002,3,141659.7,141659.7,79600000.0,0.0,0.0,0.0,0.0,561.91,79600000.0
24,J,128719,11,9921100,0,0.0,0.0,5030000.0,0.0,0.0,0.0,0.0,0.0,5030000.0
24,J,128719,12,9995000,0,0.0,0.0,3988350000.0,0.0,0.0,67100000.0,0.0,0.0,3859165387.0
24,J,128721,1,3418099,27,41073.82,43658.36,8400600000.0,0.0,0.0,2961455732.0,0.0,124584.26,5117151162.0
24,J,128721,2,3423116,9,17835950.68,18700498.7,4274281000.0,551657000.0,0.0,178879496.0,0.0,189.5,3379912654.0
24,J,128721,3,3463201,27,7748.44,8116.0,359561000.0,9509000.0,0.0,45733265.0,0.0,37496.15,290536651.0
24,J,128721,11,9921100,0,0.0,0.0,261389000.0,46921000.0,0.0,135235354.0,0.0,0.0,79232646.0
24,J,128721,12,9995000,0,0.0,0.0,13295831000.0,608087000.0,0.0,3321303847.0,0.0,0.0,8866833113.0
24,J,128722,1,3511028,9,2191580.27,2146901.82,836045330.0,0.0,0.0,148328270.0,0.0,320.33,702028907.0
24,J,128722,12,9995000,0,0.0,0.0,836045330.0,0.0,0.0,148328270.0,0.0,0.0,702028907.0
24,J,128723,1,3417099,9,2288090.0,2288090.0,334953324.0,0.0,0.0,8783883.0,0.0,142.55,326169441.0
24,J,128723,2,3511001,27,24851.88,24685.0,4125700676.0,0.0,0.0,21456350.0,0.0,166264.71,4131990581.0
24,J,128723,12,9995000,0,0.0,0.0,4460654000.0,0.0,0.0,30240233.0,0.0,0.0,4458160022.0
24,J,128724,1,3473099,9,106178925.93,109663859.81,14581470000.0,0.0,0.0,125580000.0,0.0,131.82,13996506016.0
24,J,128724,12,9995000,0,0.0,0.0,14581470000.0,0.0,0.0,125580000.0,0.0,0.0,13996506016.0
24,J,128725,1,3411099,27,15100.59,15259.54,3038497581.0,0.0,0.0,54868677.0,0.0,195525.46,2952549436.0
24,J,128725,2,3424061,27,9.5,9.64,17454480.0,0.0,0.0,0.0,0.0,1809969.29,17193098.0
24,J,128725,11,9921100,0,0.0,0.0,8091249.0,0.0,0.0,0.0,0.0,0.0,8091249.0
24,J,128725,12,9995000,0,0.0,0.0,3064043310.0,0.0,0.0,54868677.0,0.0,0.0,2977833783.0
24,J,128727,1,3415006,9,572725.0,566234.0,80594827.0,0.0,0.0,4936866.0,0.0,133.62,76525263.0
24,J,128727,2,3413929,9,1949965.0,1923200.0,324510632.0,0.0,0.0,19878019.0,0.0,158.4,308872157.0
24,J,128727,3,3411043,27,7116.85,7116.52,72564587.0,0.0,0.0,4444971.0,0.0,9572.04,68122812.0
24,J,128727,4,3416014,9,55834.0,55834.0,71637563.0,0.0,0.0,4388186.0,0.0,1204.45,67249377.0
24,J,128727,5,3424018,27,3031.8,3031.8,2554028391.0,0.0,0.0,156447958.0,0.0,790810.29,2397580433.0
24,J,128727,12,9995000,0,0.0,0.0,3103336000.0,0.0,0.0,190096000.0,0.0,0.0,2918350042.0
24,J,128728,1,3414017,27,984.84,856.5,650775566.0,0.0,0.0,26971940.0,0.0,728319.44,717277805.0
24,J,128728,2,3416030,9,2291121.0,2282671.0,172776066.0,0.0,0.0,7160849.0,0.0,72.55,166228292.0
24,J,128728,3,3416016,27,54.26,56.52,5855198.0,0.0,0.0,242674.0,0.0,99302.66,5388450.0
24,J,128728,4,3423127,9,20871014.98,20896400.0,62665376.0,0.0,0.0,2597219.0,0.0,2.87,59995186.0
24,J,128728,12,9995000,0,0.0,0.0,892072206.0,0.0,0.0,36972682.0,0.0,0.0,948889733.0
24,J,128729,1,3511009,9,47429.04,48653.22,183006092.0,5260.0,121341.0,2743994.0,0.0,3702.44,175603047.0
24,J,128729,2,3411060,9,40004.22,41036.68,31781824.0,913.0,21073.0,476537.0,0.0,762.33,30496231.0
24,J,128729,3,3415024,27,1511.13,1550.09,486632737.0,13986.0,322659.0,7296572.0,0.0,309014.77,466960735.0
24,J,128729,4,3415036,27,21.05,21.58,17517572.0,503.0,11615.0,262658.0,0.0,799017.42,16819317.0
24,J,128729,12,9995000,0,0.0,0.0,718938225.0,20662.0,476688.0,10779761.0,0.0,0.0,689879330.0
24,J,128732,1,3511001,27,3001.99,2906.46,601353340.0,0.0,0.0,695540.0,0.0,206663.09,620401096.0
24,J,128732,11,9921100,0,0.0,0.0,17775.0,0.0,0.0,0.0,0.0,0.0,17775.0
24,J,128732,12,9995000,0,0.0,0.0,601371115.0,0.0,0.0,695540.0,0.0,0.0,620418871.0
24,J,128733,1,3511030,27,1748.15,1748.15,826542150.0,0.0,0.0,13654200.0,0.0,464998.97,812887950.0
24,J,128733,2,3511086,27,807.13,807.13,107048289.0,0.0,0.0,13254630.0,0.0,116205.94,93793659.0
24,J,128733,3,3511001,27,61.5,60.26,19654785.0,0.0,0.0,3445625.0,0.0,268987.06,16542704.0
24,J,128733,4,3924099,27,1721.77,1721.77,29874562.0,0.0,0.0,3281713.0,0.0,15445.06,26592849.0
24,J,128733,12,9995000,0,0.0,0.0,983119786.0,0.0,0.0,33636168.0,0.0,0.0,949817162.0
24,J,128735,1,3511001,27,3442.37,3618.53,763677665.0,0.0,2295238.0,13565890.0,0.0,206663.09,711411791.0
24,J,128735,12,9995000,0,0.0,0.0,763677665.0,0.0,2295238.0,13565890.0,0.0,0.0,711411791.0
24,J,128738,1,3527099,9,207472.16,215978.81,241552863.0,0.0,0.0,7043318.0,0.0,1085.8,225273034.0
24,J,128738,12,9995000,0,0.0,0.0,241552863.0,0.0,0.0,7043318.0,0.0,0.0,225273034.0
24,J,128740,1,3525006,9,334148.75,334148.75,1756786765.0,0.0,0.0,105567342.0,0.0,4941.57,1651219423.0
24,J,128740,2,3480001,9,754527.0,754527.0,117645876.0,0.0,0.0,7567876.0,0.0,145.89,110078000.0
24,J,128740,3,3455006,9,711517.0,711517.0,105143654.0,0.0,0.0,6434876.0,0.0,138.73,98708778.0
24,J,128740,4,3413942,9,4354209.0,4354209.0,544536705.0,0.0,0.0,32263906.0,0.0,117.65,512272799.0
24,J,128740,11,9921100,0,0.0,0.0,130500000.0,0.0,0.0,6000000.0,0.0,0.0,124500000.0
24,J,128740,12,9995000,0,0.0,0.0,2654613000.0,0.0,0.0,157834000.0,0.0,0.0,2496779000.0
24,J,128741,1,3549099,27,8688.05,8688.05,3749120000.0,0.0,0.0,201720000.0,0.0,408307.96,3547400000.0
